,date,content,score,version,thumbs
0,2021-10-10 20:15:11,Lento,3,3.0.0,0
1,2021-10-10 14:51:06,e difícil mas e complicado essas coisa,3,3.0.0,0
2,2021-10-10 13:34:47,muitos erros na hora de recuperar senha,3,3.0.0,0
3,2021-10-10 11:34:21,"Bom, de uma forma geral...poderia ser + rápido esse reconhecimento facial...,+ ok!",3,3.0.0,0
4,2021-10-10 09:52:36,bom,3,3.0.0,0
5,2021-10-10 09:35:13,meu emai não começa com M,3,3.0.0,0
6,2021-10-10 09:00:28,Não quero,3,3.0.0,0
7,2021-10-10 00:14:01,É muito ..... .... elevanti..as características de bom humor,3,3.0.0,0
8,2021-10-09 23:08:51,olá eu baixei o App só que tanto entra da que eu já sou cadastrado sendo que nunca usei esse a pó por favor me ajude a usa,3,3.0.0,0
9,2021-10-09 20:49:12,Fraca,3,3.0.0,0
